2019-10-13 22:37:30,078: uiname is Dialog
2019-10-13 22:37:30,079: toplevel widget is SecondWindow
2019-10-13 22:37:30,079: setting property geometry
2019-10-13 22:37:30,079: setting property focusPolicy
2019-10-13 22:37:30,079: setting property windowTitle
2019-10-13 22:37:30,079: push SecondWindow Dialog
2019-10-13 22:37:30,079: setting property geometry
2019-10-13 22:37:30,079: setting property font
2019-10-13 22:37:30,080: setting property styleSheet
2019-10-13 22:37:30,080: setting property frameShape
2019-10-13 22:37:30,081: setting property frameShadow
2019-10-13 22:37:30,081: push QPlainTextEdit plainTextEdit
2019-10-13 22:37:30,082: pop widget QPlainTextEdit plainTextEdit
2019-10-13 22:37:30,082: new topwidget <keybinder.SecondWindow object at 0x0000018CA15E5288>
2019-10-13 22:37:30,082: setting property geometry
2019-10-13 22:37:30,082: setting property text
2019-10-13 22:37:30,082: push QPushButton btnDeleteText
2019-10-13 22:37:30,082: pop widget QPushButton btnDeleteText
2019-10-13 22:37:30,082: new topwidget <keybinder.SecondWindow object at 0x0000018CA15E5288>
2019-10-13 22:37:30,083: setting property geometry
2019-10-13 22:37:30,083: setting property text
2019-10-13 22:37:30,083: push QPushButton btnEnter
2019-10-13 22:37:30,083: pop widget QPushButton btnEnter
2019-10-13 22:37:30,083: new topwidget <keybinder.SecondWindow object at 0x0000018CA15E5288>
2019-10-13 22:37:30,083: pop widget SecondWindow Dialog
2019-10-13 22:37:30,083: new topwidget None
2019-10-13 22:37:53,447: uiname is Dialog
2019-10-13 22:37:53,448: toplevel widget is SecondWindow
2019-10-13 22:37:53,448: setting property geometry
2019-10-13 22:37:53,448: setting property focusPolicy
2019-10-13 22:37:53,448: setting property windowTitle
2019-10-13 22:37:53,448: push SecondWindow Dialog
2019-10-13 22:37:53,448: setting property geometry
2019-10-13 22:37:53,448: setting property font
2019-10-13 22:37:53,449: setting property styleSheet
2019-10-13 22:37:53,449: setting property frameShape
2019-10-13 22:37:53,449: setting property frameShadow
2019-10-13 22:37:53,449: push QPlainTextEdit plainTextEdit
2019-10-13 22:37:53,449: pop widget QPlainTextEdit plainTextEdit
2019-10-13 22:37:53,449: new topwidget <keybinder.SecondWindow object at 0x00000280E2335288>
2019-10-13 22:37:53,450: setting property geometry
2019-10-13 22:37:53,450: setting property text
2019-10-13 22:37:53,450: push QPushButton btnDeleteText
2019-10-13 22:37:53,450: pop widget QPushButton btnDeleteText
2019-10-13 22:37:53,450: new topwidget <keybinder.SecondWindow object at 0x00000280E2335288>
2019-10-13 22:37:53,450: setting property geometry
2019-10-13 22:37:53,450: setting property text
2019-10-13 22:37:53,450: push QPushButton btnEnter
2019-10-13 22:37:53,450: pop widget QPushButton btnEnter
2019-10-13 22:37:53,450: new topwidget <keybinder.SecondWindow object at 0x00000280E2335288>
2019-10-13 22:37:53,450: pop widget SecondWindow Dialog
2019-10-13 22:37:53,450: new topwidget None
2019-10-13 22:40:48,660: Mouse moved to (1121, 490)
2019-10-13 22:40:49,415: Mouse moved to (1121, 490)
2019-10-13 22:40:49,416: Mouse moved to (1122, 490)
2019-10-13 22:40:49,418: Mouse moved to (1122, 489)
2019-10-13 22:40:49,428: Mouse moved to (1123, 489)
2019-10-13 22:40:49,430: Mouse moved to (1124, 489)
2019-10-13 22:40:49,431: Mouse moved to (1124, 489)
2019-10-13 22:40:49,433: Mouse moved to (1125, 489)
2019-10-13 22:40:49,435: Mouse moved to (1125, 488)
2019-10-13 22:40:49,436: Mouse moved to (1126, 487)
2019-10-13 22:40:49,438: Mouse moved to (1127, 486)
2019-10-13 22:40:49,440: Mouse moved to (1128, 486)
2019-10-13 22:40:49,441: Mouse moved to (1128, 486)
2019-10-13 22:40:49,442: Mouse moved to (1129, 486)
2019-10-13 22:40:49,443: Mouse moved to (1129, 485)
2019-10-13 22:40:49,444: Mouse moved to (1129, 485)
2019-10-13 22:40:49,447: Mouse moved to (1130, 485)
2019-10-13 22:40:49,449: Mouse moved to (1130, 485)
2019-10-13 22:40:49,451: Mouse moved to (1131, 484)
2019-10-13 22:40:49,453: Mouse moved to (1132, 483)
2019-10-13 22:40:49,454: Mouse moved to (1132, 483)
2019-10-13 22:40:49,456: Mouse moved to (1132, 482)
2019-10-13 22:40:49,457: Mouse moved to (1132, 482)
2019-10-13 22:40:49,458: Mouse moved to (1132, 481)
2019-10-13 22:40:49,459: Mouse moved to (1132, 481)
2019-10-13 22:40:49,461: Mouse moved to (1131, 480)
2019-10-13 22:40:49,463: Mouse moved to (1131, 479)
2019-10-13 22:40:49,466: Mouse moved to (1131, 479)
2019-10-13 22:40:49,473: Mouse moved to (1131, 479)
2019-10-13 22:40:49,515: Mouse moved to (1131, 478)
2019-10-13 22:40:49,663: Mouse moved to (1131, 478)
2019-10-13 22:40:53,568: Mouse moved to (1131, 477)
2019-10-13 22:41:00,043: Mouse moved to (1130, 477)
2019-10-13 22:41:00,043: Mouse moved to (1130, 477)
2019-10-13 22:41:00,047: Mouse moved to (1130, 477)
2019-10-13 22:41:00,050: Mouse moved to (1130, 477)
2019-10-13 22:41:00,051: Mouse moved to (1129, 477)
2019-10-13 22:41:00,054: Mouse moved to (1129, 477)
2019-10-13 22:41:00,056: Mouse moved to (1129, 478)
2019-10-13 22:41:00,058: Mouse moved to (1128, 478)
2019-10-13 22:41:00,061: Mouse moved to (1127, 478)
2019-10-13 22:41:00,064: Mouse moved to (1127, 479)
2019-10-13 22:41:00,065: Mouse moved to (1127, 479)
2019-10-13 22:41:00,066: Mouse moved to (1127, 480)
2019-10-13 22:41:00,068: Mouse moved to (1126, 480)
2019-10-13 22:41:00,069: Mouse moved to (1126, 481)
2019-10-13 22:41:00,070: Mouse moved to (1126, 481)
2019-10-13 22:41:00,072: Mouse moved to (1125, 482)
